# num_bin  t_k  T_k^day  T_k^night
118   636.0   14.4   9.6
118   637.0   14.4   9.6
118   638.0   0.0   0.7
119   638.0   14.4   8.7
119   639.0   14.4   9.6
119   640.0   14.4   9.6
119   641.0   14.4   9.6
119   642.0   14.5   9.5
119   643.0   0.1   4.8
120   643.0   14.2   4.8
120   644.0   14.5   9.5
120   645.0   14.5   9.5
120   646.0   14.5   9.5
120   647.0   14.5   9.5
120   648.0   0.0   0.3
121   648.0   14.5   9.1
121   649.0   14.4   9.6
121   650.0   14.4   9.6
121   651.0   14.4   9.6
121   652.0   14.4   9.6
121   653.0   14.4   9.6
121   654.0   0.0   0.5
122   654.0   14.4   8.7
122   655.0   14.4   9.6
122   656.0   14.4   9.6
122   657.0   14.4   9.6
122   658.0   0.0   3.4
123   658.0   14.4   6.1
123   659.0   14.4   9.6
123   660.0   14.4   9.6
123   661.0   14.3   9.7
123   662.0   14.3   9.7
123   663.0   0.3   4.8
124   663.0   13.9   4.8
124   664.0   14.3   9.7
124   665.0   14.3   9.7
124   666.0   14.3   9.7
124   667.0   14.2   9.3
125   667.0   0.0   0.3
125   668.0   14.2   9.8
125   669.0   14.2   9.8
125   670.0   14.2   9.8
125   671.0   14.2   9.8
125   672.0   0.0   0.7
126   673.0   14.1   9.0
126   674.0   14.1   9.9
126   675.0   14.1   9.9
126   676.0   14.0   10.0
126   677.0   14.0   10.0
126   678.0   4.5   5.0
127   678.0   9.4   5.0
127   679.0   14.0   10.0
127   680.0   14.0   10.0
127   681.0   13.9   10.1
127   682.0   13.9   10.1
127   683.0   11.5   5.1
128   683.0   2.0   5.1
128   684.0   13.8   10.2
128   685.0   13.8   10.2
128   686.0   0.0   2.0
129   692.0   11.9   5.2
129   693.0   13.6   9.4
130   694.0   11.5   5.2
130   695.0   13.5   10.5
130   696.0   13.5   10.5
130   697.0   13.4   10.6
130   698.0   13.4   10.6
130   699.0   13.4   8.2
131   698.0   0.0   0.3
131   699.0   13.4   10.6
131   700.0   13.3   10.7
131   701.0   13.3   10.7
131   702.0   13.3   10.7
131   703.0   13.2   10.8
131   704.0   0.0   5.0
132   704.0   12.8   5.4
132   705.0   13.2   10.8
132   706.0   13.1   10.9
132   707.0   13.1   10.9
132   708.0   13.1   10.9
132   709.0   0.0   5.2
133   709.0   12.9   5.5
133   710.0   13.0   11.0
133   711.0   13.0   11.0
133   712.0   12.9   11.1
133   713.0   12.9   11.1
133   714.0   12.8   11.2
133   715.0   0.0   4.2
134   715.0   12.8   6.4
134   716.0   12.8   11.2
134   717.0   12.7   11.3
134   718.0   12.7   11.3
134   719.0   12.7   11.3
134   720.0   0.0   5.3
135   720.0   12.6   5.9
135   721.0   12.6   11.4
135   722.0   12.5   11.5
135   723.0   12.5   11.5
135   724.0   12.5   11.5
135   725.0   0.0   5.0
136   725.0   12.4   6.4
136   726.0   12.4   11.6
136   727.0   12.4   11.6
136   728.0   12.3   11.7
136   729.0   12.3   11.7
136   730.0   0.3   5.9
137   730.0   11.6   5.9
137   731.0   12.2   11.8
137   732.0   12.2   11.8
137   733.0   12.1   11.9
137   734.0   12.1   11.9
137   735.0   1.0   6.0
138   735.0   10.9   6.0
138   736.0   12.0   12.0
138   737.0   12.0   12.0
138   738.0   11.9   12.1
138   739.0   11.9   12.1
138   740.0   1.1   6.1
139   740.0   10.7   6.1
139   741.0   11.8   12.2
139   742.0   11.8   12.2
139   743.0   11.7   12.3
139   744.0   11.7   12.3
139   745.0   11.7   12.3
139   746.0   0.0   3.5
140   746.0   11.6   8.8
140   747.0   11.6   12.4
140   748.0   11.6   12.4
140   749.0   11.5   12.5
140   750.0   0.0   0.3
141   750.0   11.5   12.0
141   751.0   11.4   12.6
141   752.0   11.4   12.6
141   753.0   11.4   12.6
141   754.0   11.3   12.7
142   755.0   11.3   12.4
142   756.0   11.3   12.7
142   757.0   11.2   12.8
142   758.0   11.2   12.8
142   759.0   11.2   9.7
143   759.0   0.0   3.0
143   760.0   11.1   12.9
143   761.0   11.1   12.9
143   762.0   11.0   13.0
143   763.0   11.0   13.0
144   765.0   10.9   12.9
144   766.0   10.9   13.1
144   767.0   10.9   13.1
144   768.0   10.8   13.2
144   769.0   10.8   13.2
144   770.0   10.8   10.9
145   769.0   0.0   2.0
145   770.0   10.8   13.2
145   771.0   10.7   13.3
145   772.0   10.7   13.3
145   773.0   10.6   13.4
145   774.0   10.6   13.4
145   775.0   10.6   7.6
146   775.0   0.0   5.7
146   776.0   10.6   13.4
146   777.0   10.5   13.5
146   778.0   10.5   13.5
146   779.0   10.5   13.5
146   780.0   10.4   13.6
146   781.0   0.0   1.6
147   781.0   10.4   11.8
147   782.0   10.4   13.6
147   783.0   10.3   13.7
147   784.0   10.3   13.7
147   785.0   10.3   13.7
147   786.0   0.0   5.2
148   786.0   10.2   8.2
148   787.0   10.2   13.8
148   788.0   10.2   13.8
148   789.0   10.2   13.8
148   790.0   10.1   13.9
148   791.0   1.4   7.0
149   791.0   8.4   7.0
149   792.0   10.1   13.9
149   793.0   10.0   14.0
149   794.0   10.0   14.0
149   795.0   9.8   7.0
150   795.0   0.0   7.0
150   796.0   10.0   14.0
150   797.0   9.9   14.1
150   798.0   9.9   14.1
150   799.0   9.9   14.1
150   800.0   9.9   14.1
150   801.0   0.0   1.1
151   801.0   9.9   12.9
151   802.0   9.8   14.2
151   803.0   9.8   14.2
151   804.0   9.8   14.2
151   805.0   9.8   14.2
151   806.0   9.8   8.2
152   806.0   0.0   5.5
152   807.0   9.7   14.3
152   808.0   9.7   14.3
152   809.0   9.7   14.3
152   810.0   9.7   14.3
152   811.0   0.0   6.3
153   811.0   9.7   7.9
153   812.0   9.7   14.3
153   813.0   9.7   14.3
153   814.0   9.6   14.4
153   815.0   9.6   7.6
154   815.0   0.0   6.4
154   816.0   9.6   14.4
154   817.0   9.6   14.4
154   818.0   9.6   14.4
154   819.0   9.6   14.4
154   820.0   9.6   14.4
154   821.0   6.7   7.2
155   821.0   2.8   7.2
155   822.0   9.6   14.4
155   823.0   9.6   14.4
155   824.0   9.6   14.4
155   825.0   9.6   8.5
156   825.0   0.0   5.9
156   826.0   9.6   14.4
156   827.0   9.6   14.4
156   828.0   9.6   14.4
156   829.0   9.6   14.4
156   830.0   9.6   7.7
157   830.0   0.0   6.6
157   831.0   9.6   14.4
157   832.0   9.6   14.4
157   833.0   9.6   14.4
157   834.0   9.6   14.4
157   835.0   9.6   14.4
157   836.0   9.6   14.4
157   837.0   0.0   2.5
158   837.0   9.6   11.7
158   838.0   9.6   14.4
158   839.0   9.6   14.4
158   840.0   9.6   14.4
158   841.0   9.6   14.4
158   842.0   0.0   1.4
159   842.0   9.7   12.5
159   843.0   9.7   14.3
159   844.0   9.7   14.3
159   845.0   9.7   14.3
159   846.0   9.7   14.3
159   847.0   1.4   7.1
160   847.0   8.2   7.1
160   848.0   9.7   14.3
160   849.0   9.8   14.2
160   850.0   9.8   14.2
160   851.0   9.8   14.2
160   852.0   0.0   3.7
161   852.0   9.8   10.3
161   853.0   9.8   14.2
161   854.0   9.9   14.1
161   855.0   9.9   14.1
161   856.0   9.9   7.7
162   856.0   0.0   6.3
162   857.0   9.9   14.1
162   858.0   9.9   14.1
162   859.0   10.0   14.0
162   860.0   10.0   14.0
162   861.0   10.0   7.0
163   861.0   0.0   6.6
163   862.0   10.0   14.0
163   863.0   10.1   13.9
163   864.0   10.1   13.9
163   865.0   10.1   13.9
163   866.0   10.2   13.8
163   867.0   10.2   13.8
163   868.0   5.8   6.9
164   869.0   10.2   12.6
164   870.0   10.3   13.7
164   871.0   10.3   13.7
164   872.0   10.3   13.7
164   873.0   0.0   1.5
165   873.0   10.4   12.1
165   874.0   10.4   13.6
165   875.0   10.4   13.6
165   876.0   10.5   13.5
165   877.0   10.5   11.6
166   877.0   0.0   1.8
166   878.0   10.5   13.5
166   879.0   10.6   13.4
166   880.0   10.6   13.4
166   881.0   10.6   13.4
166   882.0   10.6   13.4
166   883.0   0.0   3.4
167   883.0   10.7   9.8
167   884.0   10.7   13.3
167   885.0   10.8   13.2
167   886.0   10.8   13.2
167   887.0   9.8   6.6
168   887.0   0.8   6.6
168   888.0   10.9   13.1
168   889.0   10.9   13.1
168   890.0   10.9   13.1
168   891.0   11.0   13.0
168   892.0   11.0   13.0
168   893.0   0.0   1.0
169   893.0   7.1   6.5
169   894.0   11.1   12.9
169   895.0   11.1   12.9
169   896.0   0.0   5.8
170   897.0   10.9   6.4
170   898.0   11.2   12.8
170   899.0   11.3   12.7
170   900.0   8.7   6.4
171   900.0   2.4   6.4
171   901.0   11.3   12.7
171   902.0   11.4   12.6
171   903.0   11.4   12.6
171   904.0   11.4   12.6
171   905.0   11.5   12.5
171   906.0   8.1   6.2
172   906.0   3.2   6.2
172   907.0   11.6   12.4
172   908.0   11.6   12.4
172   909.0   11.6   12.4
172   910.0   11.7   12.3
172   911.0   0.0   6.1
173   911.0   11.7   6.1
173   912.0   11.7   12.3
173   913.0   11.8   12.2
173   914.0   11.8   12.2
173   915.0   11.9   12.1
173   916.0   0.0   5.3
174   916.0   11.9   6.6
174   917.0   11.9   12.1
174   918.0   12.0   12.0
174   919.0   12.0   12.0
174   920.0   12.1   11.9
174   921.0   0.0   5.0
175   921.0   9.9   6.0
175   922.0   12.1   11.9
